Greenhouse_Gas_Source_And_Sink_Categors,Sheet,State,Year,value
3.  Transport,Australian Capital Territory,Australian Capital Territory,2004,1015.452954
3.  Transport,Australian Capital Territory,Australian Capital Territory,2005,880.434711
3.  Transport,Australian Capital Territory,Australian Capital Territory,2006,908.569928
3.  Transport,Australian Capital Territory,Australian Capital Territory,2007,948.7312837
3.  Transport,Australian Capital Territory,Australian Capital Territory,2008,1010.501181
3.  Transport,Australian Capital Territory,Australian Capital Territory,2009,967.8707916
3.  Transport,Australian Capital Territory,Australian Capital Territory,2010,1003.252845
3.  Transport,Australian Capital Territory,Australian Capital Territory,2011,1043.030279
3.  Transport,Australian Capital Territory,Australian Capital Territory,2012,1053.962638
3.  Transport,Australian Capital Territory,Australian Capital Territory,2013,1039.173714
3.  Transport,Australian Capital Territory,Australian Capital Territory,2014,1017.368501
3.  Transport,Australian Capital Territory,Australian Capital Territory,2015,1081.968809
3.  Transport,Australian Capital Territory,Australian Capital Territory,2016,1138.522766
3.  Transport,Australian Capital Territory,Australian Capital Territory,2017,1091.007815
3.  Transport,Australian Capital Territory,Australian Capital Territory,2018,1057.137796
3.  Transport,Australian Capital Territory,Australian Capital Territory,2019,1086.082346
3.  Transport,Australian Capital Territory,Australian Capital Territory,2020,899.476032
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,1990,25.67748825
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,1991,26.15988707
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,1992,25.61074582
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,1993,33.00329104
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,1994,21.96190606
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,1995,22.27681119
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,1996,11.63842985
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,1997,14.40514036
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,1998,16.98831571
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,1999,21.57868095
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2000,25.85468293
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2001,32.76412063
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2002,38.92357494
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2003,47.97969744
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2004,55.36824262
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2005,66.00022705
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2006,72.72997897
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2007,82.67952143
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2008,92.69623902
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2009,107.7282958
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2010,115.1641481
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2011,129.229599
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2012,136.045453
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2013,141.9705363
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2014,153.2162703
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2015,162.3970879
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2016,168.7570079
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2017,174.9015313
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2018,175.1359492
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2019,189.6319349
2.  Industrial Processes,Australian Capital Territory,Australian Capital Territory,2020,191.0946343
A.  Mineral industry,Australian Capital Territory,Australian Capital Territory,2018,0.000186714
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,1990,21.35759229
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,1991,21.50470685
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,1992,20.58428695
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,1993,27.66806026
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,1994,16.22836649
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,1995,14.47435191
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,1996,1.86357736
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,1997,2.103553827
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,1998,2.361924162
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,1999,2.618189155
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2000,2.814454258
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2001,3.133905821
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2002,2.827451931
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2003,3.933543766
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2004,3.871610019
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2005,2.959404962
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2006,3.534524994
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2007,3.327979708
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2008,4.166910624
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2009,4.17806275
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2010,4.260132645
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2011,4.333466089
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2012,4.434343437
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2013,4.513442243
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2014,4.578489321
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2015,4.660895376
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2016,4.747915276
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2017,6.128265513
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2018,6.048422296
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2019,7.430883863
B.  Chemical industry,Australian Capital Territory,Australian Capital Territory,2020,5.510260151
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,1994,0.021717554
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,1995,1.690796889
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,1996,4.289975668
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,1997,7.161944487
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,1998,10.06692882
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,1999,14.93086875
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2000,18.93934326
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2001,25.43470709
