Greenhouse_Gas_Source_And_Sink_Categors,Sheet,State,Year,value
D. Wetland,New South Western Australiales,New South Wales,1992,599.8158171
Direct emissions from forest clearing,New South Western Australiales,New South Wales,1992,18278.23404
E. SettlemeNorthern Territorys,New South Western Australiales,New South Wales,1992,904.0608784
Emissions from post-clearing land uses,New South Western Australiales,New South Wales,1992,7026.5608
F.  Fld burning of agricultural residues,New South Western Australiales,New South Wales,1992,140.0375569
Forest converted to other land uses,New South Western Australiales,New South Wales,1992,25304.79484
G.  Other product manufAustralian Capital Territoryure and use,New South Western Australiales,New South Wales,1992,90.72074577
G. Harvested Wood Products,New South Western Australiales,New South Wales,1992,-2035.524343
G. Liming,New South Western Australiales,New South Wales,1992,62.59685846
H. Urea application,New South Western Australiales,New South Wales,1992,78.5683247
PlaNorthern Territoryations and Natural Regeneration,New South Western Australiales,New South Wales,1992,173.3967686
Regrowth on deforested land,New South Western Australiales,New South Wales,1992,-1088.498796
Total (net emissions),New South Western Australiales,New South Wales,1992,154858.2744
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1992,154858.2744
1.  Cropland remaining cropland,New South Western Australiales,New South Wales,1993,6266.402933
1.  Energy industrs,New South Western Australiales,New South Wales,1993,50198.16324
1.  Forest land remaining forest land,New South Western Australiales,New South Wales,1993,-14106.71966
1.  Grassland remaining grassland,New South Western Australiales,New South Wales,1993,-17465.85923
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,New South Western Australiales,New South Wales,1993,-19.66662119
1.  Solid fuels,New South Western Australiales,New South Wales,1993,22374.73544
1.  Wetland remaining wetland,New South Western Australiales,New South Wales,1993,510.4073818
1. Energy,New South Western Australiales,New South Wales,1993,105930.0352
2.  Industrial Processes,New South Western Australiales,New South Wales,1993,12537.35643
2.  La nd converted to grassland,New South Western Australiales,New South Wales,1993,16604.64929
2.  Land converted to cropland,New South Western Australiales,New South Wales,1993,1100.727216
2.  Land converted to forest land,New South Western Australiales,New South Wales,1993,-2151.206895
2.  Land converted to settlemeNorthern Territorys,New South Western Australiales,New South Wales,1993,709.2067481
2.  Land converted to wetland,New South Western Australiales,New South Wales,1993,41.94852653
2.  ManufAustralian Capital Territoryuring industrs and construction,New South Western Australiales,New South Wales,1993,8415.775607
2.  Oil and natural gas and other emissions from energy production,New South Western Australiales,New South Wales,1993,1804.969589
3.  Agriculture,New South Western Australiales,New South Wales,1993,25458.1969
3.  Transport,New South Western Australiales,New South Wales,1993,19098.866
4.  Other sectors,New South Western Australiales,New South Wales,1993,4037.525326
"4. Land Use, Land-Use Change and Forestry",New South Western Australiales,New South Wales,1993,-10505.21449
5.  Western Australiaste,New South Western Australiales,New South Wales,1993,8310.138393
A.  ENorthern Territoryeric fermeNorthern Territoryation,New South Western Australiales,New South Wales,1993,20183.37085
A.  Mineral industry,New South Western Australiales,New South Wales,1993,1613.747748
A.  Solid Western Australiaste dispoSouth Australial,New South Western Australiales,New South Wales,1993,6572.164506
A. Forest Land,New South Western Australiales,New South Wales,1993,-16257.92655
A. Fuel combustion (sectoral approach),New South Western Australiales,New South Wales,1993,81750.33017
B.  Biological treatmeNorthern Territory of solid Western Australiaste,New South Western Australiales,New South Wales,1993,15.76166478
B.  Manure managemeNorthern Territory,New South Western Australiales,New South Wales,1993,1747.291165
B. Cropland,New South Western Australiales,New South Wales,1993,7367.130148
B. Fugitive emissions from fuels,New South Western Australiales,New South Wales,1993,24179.70503
C.  Incineration and open burning of Western Australiaste,New South Western Australiales,New South Wales,1993,44.00585124
C.  Metal industry,New South Western Australiales,New South Wales,1993,9390.556387
C.  Rice cultivation,New South Western Australiales,New South Wales,1993,569.3171614
C. Grassland,New South Western Australiales,New South Wales,1993,-861.2099429
D.  Agricultural soils,New South Western Australiales,New South Wales,1993,2634.656817
D.  Non-energy products from fuels and solveNorthern Territory use,New South Western Australiales,New South Wales,1993,62.67326752
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,New South Western Australiales,New South Wales,1993,1678.206371
D. Wetland,New South Western Australiales,New South Wales,1993,552.3559083
Direct emissions from forest clearing,New South Western Australiales,New South Wales,1993,13603.04745
E. SettlemeNorthern Territorys,New South Western Australiales,New South Wales,1993,689.5401269
Emissions from post-clearing land uses,New South Western Australiales,New South Wales,1993,4649.948178
F.  Fld burning of agricultural residues,New South Western Australiales,New South Wales,1993,166.9904108
Forest converted to other land uses,New South Western Australiales,New South Wales,1993,18252.99563
G.  Other product manufAustralian Capital Territoryure and use,New South Western Australiales,New South Wales,1993,97.09410924
G. Harvested Wood Products,New South Western Australiales,New South Wales,1993,-1995.104177
G. Liming,New South Western Australiales,New South Wales,1993,75.6518392
H. Urea application,New South Western Australiales,New South Wales,1993,80.9186592
PlaNorthern Territoryations and Natural Regeneration,New South Western Australiales,New South Wales,1993,-531.910442
Regrowth on deforested land,New South Western Australiales,New South Wales,1993,-1619.296453
Total (net emissions),New South Western Australiales,New South Wales,1993,141730.5124
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1993,141730.5124
1.  Cropland remaining cropland,New South Western Australiales,New South Wales,1994,5416.91117
1.  Energy industrs,New South Western Australiales,New South Wales,1994,49807.94188
1.  Forest land remaining forest land,New South Western Australiales,New South Wales,1994,-9927.033821
1.  Grassland remaining grassland,New South Western Australiales,New South Wales,1994,-16529.20547
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,New South Western Australiales,New South Wales,1994,-17.0943502
1.  Solid fuels,New South Western Australiales,New South Wales,1994,19753.15314
1.  Wetland remaining wetland,New South Western Australiales,New South Wales,1994,450.2191437
1. Energy,New South Western Australiales,New South Wales,1994,103649.5358
2.  Industrial Processes,New South Western Australiales,New South Wales,1994,13335.29435
2.  La nd converted to grassland,New South Western Australiales,New South Wales,1994,16078.5288
2.  Land converted to cropland,New South Western Australiales,New South Wales,1994,1322.646897
2.  Land converted to forest land,New South Western Australiales,New South Wales,1994,-1659.759224
2.  Land converted to settlemeNorthern Territorys,New South Western Australiales,New South Wales,1994,639.9948065
2.  Land converted to wetland,New South Western Australiales,New South Wales,1994,42.54786661
2.  ManufAustralian Capital Territoryuring industrs and construction,New South Western Australiales,New South Wales,1994,8817.919495
2.  Oil and natural gas and other emissions from energy production,New South Western Australiales,New South Wales,1994,1726.321574
3.  Agriculture,New South Western Australiales,New South Wales,1994,25626.11526
3.  Transport,New South Western Australiales,New South Wales,1994,19542.78331
4.  Other sectors,New South Western Australiales,New South Wales,1994,4001.416451
"4. Land Use, Land-Use Change and Forestry",New South Western Australiales,New South Wales,1994,-6206.080802
5.  Western Australiaste,New South Western Australiales,New South Wales,1994,7988.957032
A.  ENorthern Territoryeric fermeNorthern Territoryation,New South Western Australiales,New South Wales,1994,20161.81511
A.  Mineral industry,New South Western Australiales,New South Wales,1994,1887.525853
A.  Solid Western Australiaste dispoSouth Australial,New South Western Australiales,New South Wales,1994,6271.314711
A. Forest Land,New South Western Australiales,New South Wales,1994,-11586.79304
A. Fuel combustion (sectoral approach),New South Western Australiales,New South Wales,1994,82170.06113
B.  Biological treatmeNorthern Territory of solid Western Australiaste,New South Western Australiales,New South Wales,1994,18.5325351
B.  Manure managemeNorthern Territory,New South Western Australiales,New South Wales,1994,1764.697058
B. Cropland,New South Western Australiales,New South Wales,1994,6739.558067
B. Fugitive emissions from fuels,New South Western Australiales,New South Wales,1994,21479.47472
C.  Incineration and open burning of Western Australiaste,New South Western Australiales,New South Wales,1994,44.03202245
C.  Metal industry,New South Western Australiales,New South Wales,1994,10139.66826
C.  Rice cultivation,New South Western Australiales,New South Wales,1994,613.6388698
C. Grassland,New South Western Australiales,New South Wales,1994,-450.6766656
D.  Agricultural soils,New South Western Australiales,New South Wales,1994,2693.113582
D.  Non-energy products from fuels and solveNorthern Territory use,New South Western Australiales,New South Wales,1994,63.9857967
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,New South Western Australiales,New South Wales,1994,1655.077763
D. Wetland,New South Western Australiales,New South Wales,1994,492.7670103
Direct emissions from forest clearing,New South Western Australiales,New South Wales,1994,12489.12947
E. SettlemeNorthern Territorys,New South Western Australiales,New South Wales,1994,622.9004563
Emissions from post-clearing land uses,New South Western Australiales,New South Wales,1994,5383.252105
F.  Fld burning of agricultural residues,New South Western Australiales,New South Wales,1994,208.6403384
F.  Product uses as ODS substitutes,New South Western Australiales,New South Wales,1994,0.436821636
Forest converted to other land uses,New South Western Australiales,New South Wales,1994,17872.38157
G.  Other product manufAustralian Capital Territoryure and use,New South Western Australiales,New South Wales,1994,103.4559199
G. Harvested Wood Products,New South Western Australiales,New South Wales,1994,-2023.836625
G. Liming,New South Western Australiales,New South Wales,1994,103.9631708
H. Urea application,New South Western Australiales,New South Wales,1994,80.24713506
PlaNorthern Territoryations and Natural Regeneration,New South Western Australiales,New South Wales,1994,-221.5245914
Regrowth on deforested land,New South Western Australiales,New South Wales,1994,-1438.234633
Total (net emissions),New South Western Australiales,New South Wales,1994,144393.8217
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1994,144393.8217
1.  Cropland remaining cropland,New South Western Australiales,New South Wales,1995,2653.274586
1.  Energy industrs,New South Western Australiales,New South Wales,1995,50787.02139
1.  Forest land remaining forest land,New South Western Australiales,New South Wales,1995,-12402.92894
1.  Grassland remaining grassland,New South Western Australiales,New South Wales,1995,-18927.44146
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,New South Western Australiales,New South Wales,1995,-15.69413487
1.  Solid fuels,New South Western Australiales,New South Wales,1995,18853.78106
1.  Wetland remaining wetland,New South Western Australiales,New South Wales,1995,431.3033563
1. Energy,New South Western Australiales,New South Wales,1995,104932.0996
2.  Industrial Processes,New South Western Australiales,New South Wales,1995,13449.43411
2.  La nd converted to grassland,New South Western Australiales,New South Wales,1995,14425.70802
2.  Land converted to cropland,New South Western Australiales,New South Wales,1995,1134.192903
2.  Land converted to forest land,New South Western Australiales,New South Wales,1995,-2047.452347
2.  Land converted to settlemeNorthern Territorys,New South Western Australiales,New South Wales,1995,590.7752608
2.  Land converted to wetland,New South Western Australiales,New South Wales,1995,39.23929733
2.  ManufAustralian Capital Territoryuring industrs and construction,New South Western Australiales,New South Wales,1995,9026.202158
2.  Oil and natural gas and other emissions from energy production,New South Western Australiales,New South Wales,1995,1463.133567
3.  Agriculture,New South Western Australiales,New South Wales,1995,23177.83366
3.  Transport,New South Western Australiales,New South Wales,1995,20696.5064
4.  Other sectors,New South Western Australiales,New South Wales,1995,4105.455072
"4. Land Use, Land-Use Change and Forestry",New South Western Australiales,New South Wales,1995,-16308.36615
5.  Western Australiaste,New South Western Australiales,New South Wales,1995,7810.527883
A.  ENorthern Territoryeric fermeNorthern Territoryation,New South Western Australiales,New South Wales,1995,18360.94172
A.  Mineral industry,New South Western Australiales,New South Wales,1995,1813.046543
A.  Solid Western Australiaste dispoSouth Australial,New South Western Australiales,New South Wales,1995,6139.180231
A. Forest Land,New South Western Australiales,New South Wales,1995,-14450.38129
A. Fuel combustion (sectoral approach),New South Western Australiales,New South Wales,1995,84615.18502
B.  Biological treatmeNorthern Territory of solid Western Australiaste,New South Western Australiales,New South Wales,1995,21.30061877
B.  Manure managemeNorthern Territory,New South Western Australiales,New South Wales,1995,1628.036833
B. Cropland,New South Western Australiales,New South Wales,1995,3787.467489
B. Fugitive emissions from fuels,New South Western Australiales,New South Wales,1995,20316.91462
C.  Incineration and open burning of Western Australiaste,New South Western Australiales,New South Wales,1995,44.06396653
C.  Metal industry,New South Western Australiales,New South Wales,1995,10198.50094
C.  Rice cultivation,New South Western Australiales,New South Wales,1995,598.653426
C. Grassland,New South Western Australiales,New South Wales,1995,-4501.733441
D.  Agricultural soils,New South Western Australiales,New South Wales,1995,2282.411846
D.  Non-energy products from fuels and solveNorthern Territory use,New South Western Australiales,New South Wales,1995,63.32953214
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,New South Western Australiales,New South Wales,1995,1605.983066
D. Wetland,New South Western Australiales,New South Wales,1995,470.5426536
Direct emissions from forest clearing,New South Western Australiales,New South Wales,1995,11301.20866
E. SettlemeNorthern Territorys,New South Western Australiales,New South Wales,1995,575.081126
Emissions from post-clearing land uses,New South Western Australiales,New South Wales,1995,4668.960907
F.  Fld burning of agricultural residues,New South Western Australiales,New South Wales,1995,103.4778993
F.  Product uses as ODS substitutes,New South Western Australiales,New South Wales,1995,34.0518754
Forest converted to other land uses,New South Western Australiales,New South Wales,1995,15970.16957
G.  Other product manufAustralian Capital Territoryure and use,New South Western Australiales,New South Wales,1995,110.5133183
G. Harvested Wood Products,New South Western Australiales,New South Wales,1995,-2189.342691
G. Liming,New South Western Australiales,New South Wales,1995,103.2475502
H. Urea application,New South Western Australiales,New South Wales,1995,101.0643835
PlaNorthern Territoryations and Natural Regeneration,New South Western Australiales,New South Wales,1995,-347.9463441
Regrowth on deforested land,New South Western Australiales,New South Wales,1995,-1699.506002
Total (net emissions),New South Western Australiales,New South Wales,1995,133061.5291
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1995,133061.5291
1.  Cropland remaining cropland,New South Western Australiales,New South Wales,1996,2438.262336
1.  Energy industrs,New South Western Australiales,New South Wales,1996,51575.61755
1.  Forest land remaining forest land,New South Western Australiales,New South Wales,1996,-14468.30102
1.  Grassland remaining grassland,New South Western Australiales,New South Wales,1996,-15488.16823
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,New South Western Australiales,New South Wales,1996,-11.90104263
1.  Solid fuels,New South Western Australiales,New South Wales,1996,20315.40136
1.  Wetland remaining wetland,New South Western Australiales,New South Wales,1996,485.7497939
1. Energy,New South Western Australiales,New South Wales,1996,107344.6666
2.  Industrial Processes,New South Western Australiales,New South Wales,1996,13300.74253
2.  La nd converted to grassland,New South Western Australiales,New South Wales,1996,11176.547
2.  Land converted to cropland,New South Western Australiales,New South Wales,1996,987.9729802
2.  Land converted to forest land,New South Western Australiales,New South Wales,1996,-3019.640288
2.  Land converted to settlemeNorthern Territorys,New South Western Australiales,New South Wales,1996,549.7956803
2.  Land converted to wetland,New South Western Australiales,New South Wales,1996,55.25424514
2.  ManufAustralian Capital Territoryuring industrs and construction,New South Western Australiales,New South Wales,1996,9003.328937
2.  Oil and natural gas and other emissions from energy production,New South Western Australiales,New South Wales,1996,1116.939438
3.  Agriculture,New South Western Australiales,New South Wales,1996,24111.34592
3.  Transport,New South Western Australiales,New South Wales,1996,21185.27578
4.  Other sectors,New South Western Australiales,New South Wales,1996,4148.10355
"4. Land Use, Land-Use Change and Forestry",New South Western Australiales,New South Wales,1996,-19241.40017
5.  Western Australiaste,New South Western Australiales,New South Wales,1996,7244.789797
A.  ENorthern Territoryeric fermeNorthern Territoryation,New South Western Australiales,New South Wales,1996,18704.27226
A.  Mineral industry,New South Western Australiales,New South Wales,1996,1842.574468
A.  Solid Western Australiaste dispoSouth Australial,New South Western Australiales,New South Wales,1996,5628.28771
A. Forest Land,New South Western Australiales,New South Wales,1996,-17487.94131
A. Fuel combustion (sectoral approach),New South Western Australiales,New South Wales,1996,85912.32582
B.  Biological treatmeNorthern Territory of solid Western Australiaste,New South Western Australiales,New South Wales,1996,24.07552069
B.  Manure managemeNorthern Territory,New South Western Australiales,New South Wales,1996,1605.725165
B. Cropland,New South Western Australiales,New South Wales,1996,3426.235316
B. Fugitive emissions from fuels,New South Western Australiales,New South Wales,1996,21432.3408
C.  Incineration and open burning of Western Australiaste,New South Western Australiales,New South Wales,1996,45.37791049
C.  Metal industry,New South Western Australiales,New South Wales,1996,10232.9791
C.  Rice cultivation,New South Western Australiales,New South Wales,1996,693.5420901
C. Grassland,New South Western Australiales,New South Wales,1996,-4311.62122
D.  Agricultural soils,New South Western Australiales,New South Wales,1996,2701.682605
D.  Non-energy products from fuels and solveNorthern Territory use,New South Western Australiales,New South Wales,1996,65.62645816
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,New South Western Australiales,New South Wales,1996,1547.048656
D. Wetland,New South Western Australiales,New South Wales,1996,541.004039
Direct emissions from forest clearing,New South Western Australiales,New South Wales,1996,7481.983689
E. SettlemeNorthern Territorys,New South Western Australiales,New South Wales,1996,537.8946377
Emissions from post-clearing land uses,New South Western Australiales,New South Wales,1996,5059.422785
F.  Fld burning of agricultural residues,New South Western Australiales,New South Wales,1996,185.7393779
F.  Product uses as ODS substitutes,New South Western Australiales,New South Wales,1996,86.53428367
Forest converted to other land uses,New South Western Australiales,New South Wales,1996,12541.40647
G.  Other product manufAustralian Capital Territoryure and use,New South Western Australiales,New South Wales,1996,98.10676314
G. Harvested Wood Products,New South Western Australiales,New South Wales,1996,-1946.971637
G. Liming,New South Western Australiales,New South Wales,1996,102.5319295
H. Urea application,New South Western Australiales,New South Wales,1996,117.8524871
PlaNorthern Territoryations and Natural Regeneration,New South Western Australiales,New South Wales,1996,-744.8531412
Regrowth on deforested land,New South Western Australiales,New South Wales,1996,-2274.787147
Total (net emissions),New South Western Australiales,New South Wales,1996,132760.1447
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1996,132760.1447
1.  Cropland remaining cropland,New South Western Australiales,New South Wales,1997,1876.7264
1.  Energy industrs,New South Western Australiales,New South Wales,1997,53540.55217
1.  Forest land remaining forest land,New South Western Australiales,New South Wales,1997,-17945.87589
1.  Grassland remaining grassland,New South Western Australiales,New South Wales,1997,-8062.571986
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,New South Western Australiales,New South Wales,1997,-10.80218358
1.  Solid fuels,New South Western Australiales,New South Wales,1997,21302.1677
1.  Wetland remaining wetland,New South Western Australiales,New South Wales,1997,561.3124246
1. Energy,New South Western Australiales,New South Wales,1997,110246.4732
2.  Industrial Processes,New South Western Australiales,New South Wales,1997,13233.99217
2.  La nd converted to grassland,New South Western Australiales,New South Wales,1997,11065.86002
2.  Land converted to cropland,New South Western Australiales,New South Wales,1997,1070.051108
2.  Land converted to forest land,New South Western Australiales,New South Wales,1997,-3220.23974
2.  Land converted to settlemeNorthern Territorys,New South Western Australiales,New South Wales,1997,611.1943571
2.  Land converted to wetland,New South Western Australiales,New South Wales,1997,44.47306283
2.  ManufAustralian Capital Territoryuring industrs and construction,New South Western Australiales,New South Wales,1997,8554.442937
2.  Oil and natural gas and other emissions from energy production,New South Western Australiales,New South Wales,1997,1284.769588
3.  Agriculture,New South Western Australiales,New South Wales,1997,25022.98844
3.  Transport,New South Western Australiales,New South Wales,1997,21374.99397
4.  Other sectors,New South Western Australiales,New South Wales,1997,4189.546828
"4. Land Use, Land-Use Change and Forestry",New South Western Australiales,New South Wales,1997,-15643.06118
5.  Western Australiaste,New South Western Australiales,New South Wales,1997,7028.811023
A.  ENorthern Territoryeric fermeNorthern Territoryation,New South Western Australiales,New South Wales,1997,19077.70956
A.  Mineral industry,New South Western Australiales,New South Wales,1997,1830.362968
A.  Solid Western Australiaste dispoSouth Australial,New South Western Australiales,New South Wales,1997,5471.810631
A. Forest Land,New South Western Australiales,New South Wales,1997,-21166.11563
A. Fuel combustion (sectoral approach),New South Western Australiales,New South Wales,1997,87659.53591
B.  Biological treatmeNorthern Territory of solid Western Australiaste,New South Western Australiales,New South Wales,1997,26.87428378
B.  Manure managemeNorthern Territory,New South Western Australiales,New South Wales,1997,1637.900997
B. Cropland,New South Western Australiales,New South Wales,1997,2946.777508
B. Fugitive emissions from fuels,New South Western Australiales,New South Wales,1997,22586.93728
C.  Incineration and open burning of Western Australiaste,New South Western Australiales,New South Wales,1997,3.284951911
C.  Metal industry,New South Western Australiales,New South Wales,1997,10123.09884
C.  Rice cultivation,New South Western Australiales,New South Wales,1997,767.5738884
C. Grassland,New South Western Australiales,New South Wales,1997,3003.288033
D.  Agricultural soils,New South Western Australiales,New South Wales,1997,3003.248077
D.  Non-energy products from fuels and solveNorthern Territory use,New South Western Australiales,New South Wales,1997,65.95459044
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,New South Western Australiales,New South Wales,1997,1526.841156
D. Wetland,New South Western Australiales,New South Wales,1997,605.7854874
Direct emissions from forest clearing,New South Western Australiales,New South Wales,1997,8462.422053
E. SettlemeNorthern Territorys,New South Western Australiales,New South Wales,1997,600.3921735
Emissions from post-clearing land uses,New South Western Australiales,New South Wales,1997,4111.132705
F.  Fld burning of agricultural residues,New South Western Australiales,New South Wales,1997,271.3152487
F.  Product uses as ODS substitutes,New South Western Australiales,New South Wales,1997,144.6231531
Forest converted to other land uses,New South Western Australiales,New South Wales,1997,12573.55476
G.  Other product manufAustralian Capital Territoryure and use,New South Western Australiales,New South Wales,1997,91.17695524
G. Harvested Wood Products,New South Western Australiales,New South Wales,1997,-1633.188747
G. Liming,New South Western Australiales,New South Wales,1997,124.5563604
H. Urea application,New South Western Australiales,New South Wales,1997,140.6843079
PlaNorthern Territoryations and Natural Regeneration,New South Western Australiales,New South Wales,1997,-949.7336413
Regrowth on deforested land,New South Western Australiales,New South Wales,1997,-2270.506099
Total (net emissions),New South Western Australiales,New South Wales,1997,139889.2037
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1997,139889.2037
1.  Cropland remaining cropland,New South Western Australiales,New South Wales,1998,-1007.524772
1.  Energy industrs,New South Western Australiales,New South Wales,1998,54109.00591
1.  Forest land remaining forest land,New South Western Australiales,New South Wales,1998,-14295.45524
1.  Grassland remaining grassland,New South Western Australiales,New South Wales,1998,-8849.673342
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,New South Western Australiales,New South Wales,1998,-7.680329366
1.  Solid fuels,New South Western Australiales,New South Wales,1998,21513.44478
1.  Wetland remaining wetland,New South Western Australiales,New South Wales,1998,510.1776192
1. Energy,New South Western Australiales,New South Wales,1998,110979.3904
2.  Industrial Processes,New South Western Australiales,New South Wales,1998,13188.89555
2.  La nd converted to grassland,New South Western Australiales,New South Wales,1998,10514.951
2.  Land converted to cropland,New South Western Australiales,New South Wales,1998,1004.839531
2.  Land converted to forest land,New South Western Australiales,New South Wales,1998,-3744.916686
2.  Land converted to settlemeNorthern Territorys,New South Western Australiales,New South Wales,1998,570.747886
2.  Land converted to wetland,New South Western Australiales,New South Wales,1998,39.4465744
2.  ManufAustralian Capital Territoryuring industrs and construction,New South Western Australiales,New South Wales,1998,8737.409348
2.  Oil and natural gas and other emissions from energy production,New South Western Australiales,New South Wales,1998,1061.084174
3.  Agriculture,New South Western Australiales,New South Wales,1998,24226.82219
3.  Transport,New South Western Australiales,New South Wales,1998,21332.29618
4.  Other sectors,New South Western Australiales,New South Wales,1998,4226.150015
"4. Land Use, Land-Use Change and Forestry",New South Western Australiales,New South Wales,1998,-17122.83126
5.  Western Australiaste,New South Western Australiales,New South Wales,1998,6707.838589
A.  ENorthern Territoryeric fermeNorthern Territoryation,New South Western Australiales,New South Wales,1998,18510.91503
A.  Mineral industry,New South Western Australiales,New South Wales,1998,1912.780753
A.  Solid Western Australiaste dispoSouth Australial,New South Western Australiales,New South Wales,1998,5149.065905
A. Forest Land,New South Western Australiales,New South Wales,1998,-18040.37193
A. Fuel combustion (sectoral approach),New South Western Australiales,New South Wales,1998,88404.86145
B.  Biological treatmeNorthern Territory of solid Western Australiaste,New South Western Australiales,New South Wales,1998,29.64869332
B.  Manure managemeNorthern Territory,New South Western Australiales,New South Wales,1998,1666.250265
B. Cropland,New South Western Australiales,New South Wales,1998,-2.685240481
B. Fugitive emissions from fuels,New South Western Australiales,New South Wales,1998,22574.52895
C.  Incineration and open burning of Western Australiaste,New South Western Australiales,New South Wales,1998,3.316260172
C.  Metal industry,New South Western Australiales,New South Wales,1998,9940.536773
C.  Rice cultivation,New South Western Australiales,New South Wales,1998,654.0324
C. Grassland,New South Western Australiales,New South Wales,1998,1665.277654
D.  Agricultural soils,New South Western Australiales,New South Wales,1998,2860.34589
D.  Non-energy products from fuels and solveNorthern Territory use,New South Western Australiales,New South Wales,1998,65.95459044
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,New South Western Australiales,New South Wales,1998,1525.807731
D. Wetland,New South Western Australiales,New South Wales,1998,549.6241936
Direct emissions from forest clearing,New South Western Australiales,New South Wales,1998,8290.835631
E. SettlemeNorthern Territorys,New South Western Australiales,New South Wales,1998,563.0675567
Emissions from post-clearing land uses,New South Western Australiales,New South Wales,1998,3623.931547
F.  Fld burning of agricultural residues,New South Western Australiales,New South Wales,1998,232.1655151
F.  Product uses as ODS substitutes,New South Western Australiales,New South Wales,1998,205.6526577
Forest converted to other land uses,New South Western Australiales,New South Wales,1998,11914.76718
G.  Other product manufAustralian Capital Territoryure and use,New South Western Australiales,New South Wales,1998,82.66076653
G. Harvested Wood Products,New South Western Australiales,New South Wales,1998,-1857.743498
G. Liming,New South Western Australiales,New South Wales,1998,146.6479637
H. Urea application,New South Western Australiales,New South Wales,1998,156.4651253
PlaNorthern Territoryations and Natural Regeneration,New South Western Australiales,New South Wales,1998,-1238.293731
Regrowth on deforested land,New South Western Australiales,New South Wales,1998,-2506.622955
Total (net emissions),New South Western Australiales,New South Wales,1998,137980.1155
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",New South Western Australiales,New South Wales,1998,137980.1155
1.  Cropland remaining cropland,New South Western Australiales,New South Wales,1999,-1141.235159
1.  Energy industrs,New South Western Australiales,New South Wales,1999,56173.29494
1.  Forest land remaining forest land,New South Western Australiales,New South Wales,1999,-12582.81702
1.  Grassland remaining grassland,New South Western Australiales,New South Wales,1999,-9563.405037
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,New South Western Australiales,New South Wales,1999,-7.040875347
1.  Solid fuels,New South Western Australiales,New South Wales,1999,19595.05768
1.  Wetland remaining wetland,New South Western Australiales,New South Wales,1999,540.8162108
1. Energy,New South Western Australiales,New South Wales,1999,111197.6734
2.  Industrial Processes,New South Western Australiales,New South Wales,1999,13705.36303
2.  La nd converted to grassland,New South Western Australiales,New South Wales,1999,11370.56542
2.  Land converted to cropland,New South Western Australiales,New South Wales,1999,985.759382
2.  Land converted to forest land,New South Western Australiales,New South Wales,1999,-4100.927983
2.  Land converted to settlemeNorthern Territorys,New South Western Australiales,New South Wales,1999,669.0072589
2.  Land converted to wetland,New South Western Australiales,New South Wales,1999,33.32540846
2.  ManufAustralian Capital Territoryuring industrs and construction,New South Western Australiales,New South Wales,1999,8599.370876
2.  Oil and natural gas and other emissions from energy production,New South Western Australiales,New South Wales,1999,846.5092647
3.  Agriculture,New South Western Australiales,New South Wales,1999,24286.44049
3.  Transport,New South Western Australiales,New South Wales,1999,21748.45755
4.  Other sectors,New South Western Australiales,New South Wales,1999,4234.983112
"4. Land Use, Land-Use Change and Forestry",New South Western Australiales,New South Wales,1999,-15517.13861
5.  Western Australiaste,New South Western Australiales,New South Wales,1999,6664.238351
A.  ENorthern Territoryeric fermeNorthern Territoryation,New South Western Australiales,New South Wales,1999,18433.69975
A.  Mineral industry,New South Western Australiales,New South Wales,1999,1879.372715
A.  Solid Western Australiaste dispoSouth Australial,New South Western Australiales,New South Wales,1999,5106.780979
A. Forest Land,New South Western Australiales,New South Wales,1999,-16683.745
A. Fuel combustion (sectoral approach),New South Western Australiales,New South Wales,1999,90756.10648
B.  Biological treatmeNorthern Territory of solid Western Australiaste,New South Western Australiales,New South Wales,1999,32.43574587
B.  Manure managemeNorthern Territory,New South Western Australiales,New South Wales,1999,1623.808658
B. Cropland,New South Western Australiales,New South Wales,1999,-155.4757765
B. Fugitive emissions from fuels,New South Western Australiales,New South Wales,1999,20441.56695
C.  Incineration and open burning of Western Australiaste,New South Western Australiales,New South Wales,1999,3.35270759
